date,spy,nasdaq,dow,russell,ftse
2010-03-24,116.83999633789062,2398.760009765625,10836.150390625,683.6799926757812,0.0
2010-03-25,116.6500015258789,2397.409912109375,10841.2099609375,679.0999755859375,0.0
2010-03-26,116.58000183105469,2395.1298828125,10850.3603515625,678.969970703125,0.0
2010-03-27,116.82666778564453,2398.2066243489585,10865.527018229166,680.0633138020834,0.0
2010-03-28,117.07333374023438,2401.2833658854165,10880.693684895834,681.1566569010416,0.0
2010-03-29,117.31999969482422,2404.360107421875,10895.8603515625,682.25,0.0
2010-03-30,117.4000015258789,2410.68994140625,10907.419921875,683.9400024414062,0.0
2010-03-31,117.0,2397.9599609375,10856.6298828125,678.6400146484375,0.0
2010-04-01,117.80000305175781,2402.580078125,10927.0703125,683.97998046875,0.0
2010-04-02,118.04000282287598,2409.3175659179688,10938.690185546875,687.3974914550781,0.0
2010-04-03,118.28000259399414,2416.0550537109375,10950.31005859375,690.8150024414062,0.0
2010-04-04,118.5200023651123,2422.7925415039062,10961.929931640625,694.2325134277344,0.0
2010-04-05,118.76000213623047,2429.530029296875,10973.5498046875,697.6500244140625,0.0
2010-04-06,119.04000091552734,2436.81005859375,10969.990234375,701.47998046875,0.0
2010-04-07,118.36000061035156,2431.159912109375,10897.51953125,699.4600219726562,0.0
2010-04-08,118.7699966430664,2436.81005859375,10927.0703125,699.6400146484375,0.0
2010-04-09,119.55000305175781,2454.050048828125,10997.349609375,702.9500122070312,0.0
2010-04-10,119.61333465576172,2455.3234049479165,11000.222981770834,703.6533406575521,0.0
2010-04-11,119.67666625976562,2456.5967610677085,11003.096354166666,704.3566691080729,0.0
2010-04-12,119.73999786376953,2457.8701171875,11005.9697265625,705.0599975585938,0.0
2010-04-13,119.83000183105469,2465.989990234375,11019.419921875,707.030029296875,0.0
2010-04-14,121.19000244140625,2504.860107421875,11123.1103515625,722.4000244140625,0.0
2010-04-15,121.29000091552734,2515.68994140625,11144.5703125,724.2100219726562,0.0
2010-04-16,119.36000061035156,2481.260009765625,11018.66015625,714.6199951171875,0.0
2010-04-17,119.50999959309895,2480.876708984375,11043.123372395834,713.5466715494791,0.0
2010-04-18,119.65999857584636,2480.493408203125,11067.586588541666,712.4733479817709,0.0
2010-04-19,119.80999755859375,2480.110107421875,11092.0498046875,711.4000244140625,0.0
2010-04-20,120.87999725341797,2500.31005859375,11117.0595703125,721.5499877929688,0.0
2010-04-21,120.66000366210938,2504.610107421875,11124.919921875,726.1900024414062,0.0
2010-04-22,121.0199966430664,2519.070068359375,11134.2900390625,734.3099975585938,0.0
2010-04-23,121.80999755859375,2530.14990234375,11204.2802734375,741.9199829101562,0.0
2010-04-24,121.6566645304362,2527.7499186197915,11204.5302734375,740.8999837239584,0.0
2010-04-25,121.50333150227864,2525.3499348958335,11204.7802734375,739.8799845377604,0.0
2010-04-26,121.3499984741211,2522.949951171875,11205.0302734375,738.8599853515625,0.0
2010-04-27,118.4800033569336,2471.469970703125,10991.990234375,721.27001953125,0.0
2010-04-28,119.37999725341797,2471.72998046875,11045.26953125,722.3900146484375,0.0
2010-04-29,120.86000061035156,2511.919921875,11167.3203125,737.739990234375,0.0
2010-04-30,118.80999755859375,2461.18994140625,11008.6103515625,716.5999755859375,0.0
2010-05-01,119.32333119710286,2473.7066243489585,11056.350260416666,722.0066528320312,0.0
2010-05-02,119.83666483561198,2486.2233072916665,11104.090169270834,727.413330078125,0.0
2010-05-03,120.3499984741211,2498.739990234375,11151.830078125,732.8200073242188,0.0
2010-05-04,117.5199966430664,2424.25,10926.76953125,709.7000122070312,0.0
2010-05-05,116.81999969482422,2402.2900390625,10866.830078125,698.5800170898438,0.0
2010-05-06,112.94000244140625,2319.639892578125,10520.3203125,672.22998046875,0.0
2010-05-07,111.26000213623047,2265.639892578125,10380.4296875,653.0,0.0
2010-05-08,112.89333597819011,2301.9832356770835,10515.3330078125,665.2033284505209,0.0
2010-05-09,114.52666982014973,2338.3265787760415,10650.236328125,677.4066569010416,0.0
2010-05-10,116.16000366210938,2374.669921875,10785.1396484375,689.6099853515625,0.0
2010-05-11,115.83000183105469,2375.31005859375,10748.259765625,695.47998046875,0.0
2010-05-12,117.44999694824219,2425.02001953125,10896.91015625,716.1099853515625,0.0
2010-05-13,115.98999786376953,2394.360107421875,10782.9501953125,709.8499755859375,0.0
2010-05-14,113.88999938964844,2346.85009765625,10620.16015625,693.97998046875,0.0
2010-05-15,113.90999857584636,2349.31005859375,10622.050130208334,694.5566609700521,0.0
2010-05-16,113.92999776204427,2351.77001953125,10623.940104166666,695.1333414713541,0.0
2010-05-17,113.94999694824219,2354.22998046875,10625.830078125,695.7100219726562,0.0
2010-05-18,112.4000015258789,2317.260009765625,10510.9501953125,682.75,0.0
2010-05-19,111.76000213623047,2298.3701171875,10444.3701171875,674.4000244140625,0.0
2010-05-20,107.54000091552734,2204.010009765625,10068.009765625,640.0399780273438,0.0
2010-05-21,109.11000061035156,2229.0400390625,10193.3896484375,649.2899780273438,0.0
2010-05-22,108.6433334350586,2223.876708984375,10151.116536458334,646.5966593424479,0.0
2010-05-23,108.17666625976562,2218.71337890625,10108.843424479166,643.9033406575521,0.0
2010-05-24,107.70999908447266,2213.550048828125,10066.5703125,641.2100219726562,0.0
2010-05-25,107.81999969482422,2210.949951171875,10043.75,640.02001953125,0.0
2010-05-26,107.16999816894531,2195.8798828125,9974.4501953125,642.6199951171875,0.0
2010-05-27,110.76000213623047,2277.679931640625,10258.990234375,670.510009765625,0.0
2010-05-28,109.37000274658203,2257.0400390625,10136.6298828125,661.6099853515625,0.0
2010-05-29,108.91000175476074,2248.362548828125,10108.477294921875,656.4474945068359,0.0
2010-05-30,108.45000076293945,2239.68505859375,10080.32470703125,651.2850036621094,0.0
2010-05-31,107.98999977111816,2231.007568359375,10052.172119140625,646.1225128173828,0.0
2010-06-01,107.52999877929688,2222.330078125,10024.01953125,640.9600219726562,0.0
2010-06-02,110.33000183105469,2281.070068359375,10249.5400390625,660.52001953125,0.0
2010-06-03,110.70999908447266,2303.030029296875,10255.2802734375,667.3699951171875,0.0
2010-06-04,106.81999969482422,2219.169921875,9931.9697265625,633.969970703125,0.0
2010-06-05,106.37666575113933,2204.0799153645835,9893.4765625,628.8099772135416,0.0
2010-06-06,105.93333180745442,2188.9899088541665,9854.9833984375,623.6499837239584,0.0
2010-06-07,105.48999786376953,2173.89990234375,9816.490234375,618.489990234375,0.0
2010-06-08,106.62000274658203,2170.570068359375,9939.98046875,617.6900024414062,0.0
2010-06-09,106.05000305175781,2158.85009765625,9899.25,618.2899780273438,0.0
2010-06-10,109.1500015258789,2218.7099609375,10172.5302734375,639.7899780273438,0.0
2010-06-11,109.68000030517578,2243.60009765625,10211.0703125,649.0,0.0
2010-06-12,109.62333424886067,2243.7200520833335,10204.343424479166,650.0900065104166,0.0
2010-06-13,109.56666819254558,2243.8400065104165,10197.616536458334,651.1800130208334,0.0
2010-06-14,109.51000213623047,2243.9599609375,10190.8896484375,652.27001953125,0.0
2010-06-15,112.0,2305.8798828125,10404.76953125,668.77001953125,0.0
2010-06-16,111.95999908447266,2305.929931640625,10409.4599609375,666.1300048828125,0.0
2010-06-17,112.13999938964844,2307.159912109375,10434.169921875,665.8499755859375,0.0
2010-06-18,111.7300033569336,2309.800048828125,10450.6396484375,666.9199829101562,0.0
2010-06-19,111.62333679199219,2302.896728515625,10447.896484375,664.6233317057291,0.0
2010-06-20,111.51667022705078,2295.993408203125,10445.1533203125,662.3266805013021,0.0
2010-06-21,111.41000366210938,2289.090087890625,10442.41015625,660.030029296875,0.0
2010-06-22,109.56999969482422,2261.800048828125,10293.51953125,645.9099731445312,0.0
2010-06-23,109.2300033569336,2254.22998046875,10298.4404296875,644.25,0.0
2010-06-24,107.41999816894531,2217.419921875,10152.7998046875,633.1699829101562,0.0
2010-06-25,107.87000274658203,2223.47998046875,10143.8095703125,645.1099853515625,0.0
2010-06-26,107.75666809082031,2222.53662109375,10142.046223958334,643.9199829101562,0.0
2010-06-27,107.6433334350586,2221.59326171875,10140.282877604166,642.72998046875,0.0
2010-06-28,107.52999877929688,2220.64990234375,10138.51953125,641.5399780273438,0.0
2010-06-29,104.20999908447266,2135.179931640625,9870.2998046875,615.9600219726562,0.0
2010-06-30,103.22000122070312,2109.239990234375,9774.01953125,609.489990234375,0.0
2010-07-01,102.76000213623047,2101.360107421875,9732.5302734375,604.760009765625,0.0
2010-07-02,102.19999694824219,2091.7900390625,9686.48046875,598.969970703125,0.0
2010-07-03,102.36749839782715,2092.3125,9700.765380859375,596.7349853515625,0.0
2010-07-04,102.53499984741211,2092.8349609375,9715.05029296875,594.5,0.0
2010-07-05,102.70250129699707,2093.357421875,9729.335205078125,592.2650146484375,0.0
2010-07-06,102.87000274658203,2093.8798828125,9743.6201171875,590.030029296875,0.0
2010-07-07,106.11000061035156,2159.469970703125,10018.2802734375,611.6599731445312,0.0
2010-07-08,107.16000366210938,2175.39990234375,10138.990234375,620.27001953125,0.0
2010-07-09,107.95999908447266,2196.449951171875,10198.0302734375,629.4299926757812,0.0
2010-07-10,107.98333231608073,2197.086669921875,10204.110026041666,626.8233235677084,0.0
2010-07-11,108.0066655476888,2197.723388671875,10210.189778645834,624.2166544596354,0.0
2010-07-12,108.02999877929688,2198.360107421875,10216.26953125,621.6099853515625,0.0
2010-07-13,109.66000366210938,2242.030029296875,10363.01953125,642.8200073242188,0.0
2010-07-14,109.6500015258789,2249.840087890625,10366.7197265625,640.1599731445312,0.0
2010-07-15,109.68000030517578,2249.080078125,10359.3095703125,634.6199951171875,0.0
2010-07-16,106.66000366210938,2179.050048828125,10097.900390625,610.3900146484375,0.0
2010-07-17,106.87000274658203,2185.443359375,10116.743489583334,611.2866821289062,0.0
2010-07-18,107.08000183105469,2191.836669921875,10135.586588541666,612.183349609375,0.0
2010-07-19,107.29000091552734,2198.22998046875,10154.4296875,613.0800170898438,0.0
2010-07-20,108.4800033569336,2222.489990234375,10229.9599609375,624.239990234375,0.0
2010-07-21,107.06999969482422,2187.330078125,10120.5302734375,612.6400146484375,0.0
2010-07-22,109.45999908447266,2245.889892578125,10322.2998046875,635.47998046875,0.0
2010-07-23,110.41000366210938,2269.469970703125,10424.6201171875,650.6500244140625,0.0
2010-07-24,110.7933349609375,2278.4566243489585,10458.223307291666,655.5066731770834,0.0
2010-07-25,111.17666625976562,2287.4432779947915,10491.826497395834,660.3633219401041,0.0
